transaction_id,customer_id,merchant_id,transaction_date,amount,currency,card_number,card_brand,card_type,card_subtype,merchant_name,merchant_category_code,merchant_category,merchant_description,transaction_status,authorization_code,region_code,region_name,country_code,timezone,customer_tier,customer_credit_limit,primary_department,sensitivity_level,risk_level,risk_score,is_international,is_online,processor_response_code,created_timestamp,updated_timestamp
TXN_844C01346A0D,CUST_770487,MERCH_24592,2024-10-15 09:07:06,297.29,USD,5***-****-****-1488,MASTERCARD,CREDIT,REWARDS,Restaurant Store #96,5812,RESTAURANT,"Eating Places, Restaurants",APPROVED,AUTH329258,US_EAST,US East,US,America/New_York,STANDARD,10000,OPERATIONS,INTERNAL,MEDIUM,50.54,False,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_3594E9622D4D,CUST_850800,MERCH_95181,2024-11-10 23:57:49,111.58,USD,4***-****-****-2674,VISA,CREDIT,CASHBACK,Gas Store #95,5541,GAS,Service Stations,APPROVED,AUTH498382,ASIA_PAC,Asia Pacific,JP,Asia/Tokyo,SILVER,25000,CUSTOMER_SERVICE,PUBLIC,LOW,35.9,False,False,00,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_1D78450826B8,CUST_865179,MERCH_70217,2024-11-25 07:02:57,710.48,USD,3***-******-96673,AMEX,CREDIT,CASHBACK,Apparel Store #234,5691,APPAREL,Men's and Women's Clothing,DECLINED,AUTH910620,US_EAST,US East,US,America/New_York,STANDARD,10000,OPERATIONS,PUBLIC,LOW,98.52,False,True,05,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_3E5FD2010D60,CUST_498591,MERCH_46434,2025-09-10 09:02:35,686.71,USD,3***-******-89840,AMEX,CREDIT,CASHBACK,Transport Store #651,4111,TRANSPORT,"Transportation, Suburban and Local",APPROVED,AUTH279451,ASIA_PAC,Asia Pacific,SG,Asia/Tokyo,STANDARD,10000,OPERATIONS,PUBLIC,LOW,16.34,False,False,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_B8BF1A7E5753,CUST_817870,MERCH_52504,2025-04-19 21:17:27,702.95,USD,3***-******-51245,AMEX,CREDIT,REWARDS,Liquor Store #218,5921,LIQUOR,"Package Stores, Beer, Wine, Liquor",APPROVED,AUTH787277,US_EAST,US East,US,America/New_York,SILVER,25000,COMPLIANCE,PUBLIC,LOW,39.56,False,False,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_4AEEB7319964,CUST_377746,MERCH_28301,2024-11-04 08:08:06,519.34,USD,6***-****-****-1771,DISCOVER,CREDIT,CASHBACK,Apparel Store #882,5691,APPAREL,Men's and Women's Clothing,APPROVED,AUTH214975,US_WEST,US West,US,America/Los_Angeles,STANDARD,10000,OPERATIONS,PUBLIC,LOW,62.74,False,True,54,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_16E6EC51D9E2,CUST_500156,MERCH_88104,2024-12-24 05:46:50,385.46,USD,4***-****-****-2827,VISA,PREPAID,GIFT,Restaurant Store #301,5812,RESTAURANT,"Eating Places, Restaurants",APPROVED,AUTH555884,ASIA_PAC,Asia Pacific,SG,Asia/Tokyo,STANDARD,10000,CUSTOMER_SERVICE,PUBLIC,LOW,45.37,False,True,05,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_0CF7516C443E,CUST_755674,MERCH_49117,2025-09-07 10:36:59,738.7,USD,4***-****-****-4923,VISA,CREDIT,TRAVEL,Apparel Store #60,5691,APPAREL,Men's and Women's Clothing,APPROVED,AUTH352572,US_WEST,US West,US,America/Los_Angeles,GOLD,100000,CUSTOMER_SERVICE,PUBLIC,LOW,8.57,False,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_2208A6B8BD4D,CUST_234628,MERCH_96474,2025-06-06 12:49:19,217.13,USD,6***-****-****-7537,DISCOVER,CREDIT,REWARDS,Retail Store #688,5311,RETAIL,Department Stores,DECLINED,AUTH781446,ASIA_PAC,Asia Pacific,AU,Asia/Tokyo,STANDARD,10000,CUSTOMER_SERVICE,INTERNAL,MEDIUM,43.81,False,True,41,2025-09-11 14:47:23,2025-09-11 14:47:23
TXN_C910DE2A6B98,CUST_335612,MERCH_18392,2024-12-09 12:40:54,38.36,USD,5***-****-****-6413,MASTERCARD,CREDIT,CASHBACK,Grocery Store #73,5411,GROCERY,"Grocery Stores, Supermarkets",APPROVED,AUTH639131,EUROPE,Europe,DE,Europe/London,PREMIUM,500000,OPERATIONS,RESTRICTED,LOW,27.85,False,True,14,2025-09-11 14:47:23,2025-09-11 14:47:23
